"user_id","user_name","recipe_code","recipe_name","predicted_rating"
"u_1oKVZPP8jYZRYPrNWRdDSTevmF4","afoth73","32480","Basic Homemade Bread",5
"u_1oKVZPP8jYZRYPrNWRdDSTevmF4","afoth73","23222","Baked Mushroom Chicken",5
"u_1oKVZPP8jYZRYPrNWRdDSTevmF4","afoth73","2872","Stuffed Pepper Soup",5
"u_1oKVZPP8jYZRYPrNWRdDSTevmF4","afoth73","32248","Smothered Chicken Breasts",5
"u_1oKVZPP8jYZRYPrNWRdDSTevmF4","afoth73","7178","Zucchini Cupcake",5
"u_1oKVZT7bnHOk8MH7Aom0wkTCJNo","ahmom","46655","Chocolate-Strawberry Celebration Cake",4.93477658505548
"u_1oKVZT7bnHOk8MH7Aom0wkTCJNo","ahmom","42386","Pumpkin Spice Cupcakes with Cream Cheese Frosting",4.92988948622424
"u_1oKVZT7bnHOk8MH7Aom0wkTCJNo","ahmom","74724","Chocolate Guinness Cake",4.92968823366936
"u_1oKVZT7bnHOk8MH7Aom0wkTCJNo","ahmom","14600","Buttery Cornbread",4.91693105611652
"u_1oKVZT7bnHOk8MH7Aom0wkTCJNo","ahmom","8431","Rhubarb Custard Bars",4.91110503600544
"u_1oKVZTHTqi7N4NPqNxPS2XB2asz","mythyagain","24886","Chicken and Dumplings",5
"u_1oKVZTHTqi7N4NPqNxPS2XB2asz","mythyagain","3683","Caramel Heavenlies",5
"u_1oKVZTHTqi7N4NPqNxPS2XB2asz","mythyagain","11330","Twice-Baked Potato Casserole",4.99272645884173
"u_1oKVZTHTqi7N4NPqNxPS2XB2asz","mythyagain","27675","Peanut Butter Cup Cheesecake",4.95214182317812
"u_1oKVZTHTqi7N4NPqNxPS2XB2asz","mythyagain","23222","Baked Mushroom Chicken",4.9412706600679
"u_1oKVZTi0UOjTtdNBtFIYYHyN2x6","LauraManning","3309","Best Ever Banana Bread",5
"u_1oKVZTi0UOjTtdNBtFIYYHyN2x6","LauraManning","7178","Zucchini Cupcake",5
"u_1oKVZTi0UOjTtdNBtFIYYHyN2x6","LauraManning","11330","Twice-Baked Potato Casserole",5
"u_1oKVZTi0UOjTtdNBtFIYYHyN2x6","LauraManning","21444","Favorite Chicken Potpie",5
"u_1oKVZTi0UOjTtdNBtFIYYHyN2x6","LauraManning","33206","Pineapple Orange Cake",5
"u_1oKVZUMDcz6fqhcfNkITken7Qof","Amy the Midwife","3143","Pumpkin Bars",4.799299632087
"u_1oKVZUMDcz6fqhcfNkITken7Qof","Amy the Midwife","17826","Amish Breakfast Casserole",4.68359327387257
"u_1oKVZUMDcz6fqhcfNkITken7Qof","Amy the Midwife","39545","White Bean Chicken Chili",4.66904274361507
"u_1oKVZUMDcz6fqhcfNkITken7Qof","Amy the Midwife","38183","Baked Tilapia",4.66841098422943
"u_1oKVZUMDcz6fqhcfNkITken7Qof","Amy the Midwife","39334","Chicken Penne Casserole",4.65426919288888
"u_1oKVZXzP64U03Y1r3DIJ5He5wZl","sstetzel","38183","Baked Tilapia",3.45954600396251
"u_1oKVZXzP64U03Y1r3DIJ5He5wZl","sstetzel","34347","Lime Chicken Tacos",3.42755821251264
"u_1oKVZXzP64U03Y1r3DIJ5He5wZl","sstetzel","3683","Caramel Heavenlies",3.41882550148179
"u_1oKVZXzP64U03Y1r3DIJ5He5wZl","sstetzel","3290","Brown Sugar Oatmeal Pancakes",3.04941946465406
"u_1oKVZXzP64U03Y1r3DIJ5He5wZl","sstetzel","7539","Fluffy Pancakes",3.02535249436243
"u_1oKVZagX4nkLravRce6v3sDjTYT","Worshipguy","16579","Chicken Wild Rice Soup",5
"u_1oKVZagX4nkLravRce6v3sDjTYT","Worshipguy","12003","Traditional Lasagna",5
"u_1oKVZagX4nkLravRce6v3sDjTYT","Worshipguy","9739","Best Ever Potato Soup",5
"u_1oKVZagX4nkLravRce6v3sDjTYT","Worshipguy","3058","Winning Apple Crisp",5
"u_1oKVZagX4nkLravRce6v3sDjTYT","Worshipguy","414","Lemon Blueberry Bread",5
"u_1oKVZangmN67bJNxpyD1j55VJCj","tsuop","2912","Zucchini Pizza Casserole",5
"u_1oKVZangmN67bJNxpyD1j55VJCj","tsuop","36450","Fluffy Key Lime Pie",5
"u_1oKVZangmN67bJNxpyD1j55VJCj","tsuop","38183","Baked Tilapia",5
"u_1oKVZangmN67bJNxpyD1j55VJCj","tsuop","45495","Gluten-Free Banana Bread",5
"u_1oKVZangmN67bJNxpyD1j55VJCj","tsuop","42386","Pumpkin Spice Cupcakes with Cream Cheese Frosting",5
"u_1oKVZaxgZr9JqCUTsowfyIT48aS","gina.kapfhamer","4383","First-Place Coconut Macaroons",5
"u_1oKVZaxgZr9JqCUTsowfyIT48aS","gina.kapfhamer","1196","Pumpkin Bread",5
"u_1oKVZaxgZr9JqCUTsowfyIT48aS","gina.kapfhamer","43675","Macaroni Coleslaw",5
"u_1oKVZaxgZr9JqCUTsowfyIT48aS","gina.kapfhamer","26937","Pineapple Pudding Cake",5
"u_1oKVZaxgZr9JqCUTsowfyIT48aS","gina.kapfhamer","27696","Flavorful Pot Roast",5
