user_id,user_name,recipe_code,recipe_name,predicted_rating
u_1oKVZT7bnHOk8MH7Aom0wkTCJNo,ahmom,12003,Traditional Lasagna,4.9999986
u_1oKVZT7bnHOk8MH7Aom0wkTCJNo,ahmom,28058,Shrimp Scampi,4.9998226
u_1oKVZT7bnHOk8MH7Aom0wkTCJNo,ahmom,12700,Big Soft Ginger Cookies,4.9992237
u_1oKVZT7bnHOk8MH7Aom0wkTCJNo,ahmom,17022,Vegetarian Linguine,4.99857
u_1oKVZT7bnHOk8MH7Aom0wkTCJNo,ahmom,39581,Homemade Peanut Butter Cups,4.997704
u_1oKVr0FIiKTNe84vUuYXGEKMHfD,gooch621,12003,Traditional Lasagna,5.0
u_1oKVr0FIiKTNe84vUuYXGEKMHfD,gooch621,18345,Simple Au Gratin Potatoes,4.9999967
u_1oKVr0FIiKTNe84vUuYXGEKMHfD,gooch621,12700,Big Soft Ginger Cookies,4.999995
u_1oKVr0FIiKTNe84vUuYXGEKMHfD,gooch621,28058,Shrimp Scampi,4.999988
u_1oKVr0FIiKTNe84vUuYXGEKMHfD,gooch621,957,Sandy’s Chocolate Cake,4.9999356
u_1oKVguRYSeYopnS8TJesoAeBEsd,dylan's mama,35766,Cheeseburger Paradise Soup,4.9999814
u_1oKVguRYSeYopnS8TJesoAeBEsd,dylan's mama,14299,Creamy White Chili,4.999969
u_1oKVguRYSeYopnS8TJesoAeBEsd,dylan's mama,38550,Special Banana Nut Bread,4.999943
u_1oKVguRYSeYopnS8TJesoAeBEsd,dylan's mama,39581,Homemade Peanut Butter Cups,4.999912
u_1oKVguRYSeYopnS8TJesoAeBEsd,dylan's mama,45495,Gluten-Free Banana Bread,4.999888
u_1oKWWgyoJAqNhh1VGGmFPp24Au9,mrscessna,12003,Traditional Lasagna,4.9998503
u_1oKWWgyoJAqNhh1VGGmFPp24Au9,mrscessna,45495,Gluten-Free Banana Bread,4.9991655
u_1oKWWgyoJAqNhh1VGGmFPp24Au9,mrscessna,35766,Cheeseburger Paradise Soup,4.9990654
u_1oKWWgyoJAqNhh1VGGmFPp24Au9,mrscessna,3143,Pumpkin Bars,4.9987445
u_1oKWWgyoJAqNhh1VGGmFPp24Au9,mrscessna,17022,Vegetarian Linguine,4.9986715
u_1oKVchl3LINh51liAWR6aZjJEqJ,jeanemed,14299,Creamy White Chili,5.0
u_1oKVchl3LINh51liAWR6aZjJEqJ,jeanemed,28058,Shrimp Scampi,5.0
u_1oKVchl3LINh51liAWR6aZjJEqJ,jeanemed,35766,Cheeseburger Paradise Soup,5.0
u_1oKVchl3LINh51liAWR6aZjJEqJ,jeanemed,39581,Homemade Peanut Butter Cups,5.0
u_1oKVchl3LINh51liAWR6aZjJEqJ,jeanemed,18345,Simple Au Gratin Potatoes,5.0
u_1oKVyRJPymM0gqQgaXO2kbAAFwF,skipperstrucking,12003,Traditional Lasagna,4.9999995
u_1oKVyRJPymM0gqQgaXO2kbAAFwF,skipperstrucking,28058,Shrimp Scampi,4.9999986
u_1oKVyRJPymM0gqQgaXO2kbAAFwF,skipperstrucking,39581,Homemade Peanut Butter Cups,4.9999976
u_1oKVyRJPymM0gqQgaXO2kbAAFwF,skipperstrucking,18345,Simple Au Gratin Potatoes,4.9999895
u_1oKVyRJPymM0gqQgaXO2kbAAFwF,skipperstrucking,12700,Big Soft Ginger Cookies,4.9999866
u_1oKVs0hze41xpDnpa25yOfyifOa,dmkinsey,12003,Traditional Lasagna,4.99971
u_1oKVs0hze41xpDnpa25yOfyifOa,dmkinsey,39581,Homemade Peanut Butter Cups,4.994441
u_1oKVs0hze41xpDnpa25yOfyifOa,dmkinsey,18345,Simple Au Gratin Potatoes,4.9904737
u_1oKVs0hze41xpDnpa25yOfyifOa,dmkinsey,35766,Cheeseburger Paradise Soup,4.98889
u_1oKVs0hze41xpDnpa25yOfyifOa,dmkinsey,14299,Creamy White Chili,4.9823995
u_1oKVjsyb4yvVgYiypxsW80FDRIK,joycerm53,39581,Homemade Peanut Butter Cups,4.9999995
u_1oKVjsyb4yvVgYiypxsW80FDRIK,joycerm53,28058,Shrimp Scampi,4.999999
u_1oKVjsyb4yvVgYiypxsW80FDRIK,joycerm53,17022,Vegetarian Linguine,4.999999
u_1oKVjsyb4yvVgYiypxsW80FDRIK,joycerm53,18345,Simple Au Gratin Potatoes,4.999999
u_1oKVjsyb4yvVgYiypxsW80FDRIK,joycerm53,45495,Gluten-Free Banana Bread,4.999999
u_1oKVaOIZuLsG11MgUDbsALsnx49,astarzynski,12003,Traditional Lasagna,4.9999986
u_1oKVaOIZuLsG11MgUDbsALsnx49,astarzynski,39581,Homemade Peanut Butter Cups,4.999998
u_1oKVaOIZuLsG11MgUDbsALsnx49,astarzynski,28058,Shrimp Scampi,4.999997
u_1oKVaOIZuLsG11MgUDbsALsnx49,astarzynski,45495,Gluten-Free Banana Bread,4.999979
u_1oKVaOIZuLsG11MgUDbsALsnx49,astarzynski,18345,Simple Au Gratin Potatoes,4.9999337
u_1oKVa3dm9k4sQJZuEACIlelurOi,krucook,12003,Traditional Lasagna,4.999998
u_1oKVa3dm9k4sQJZuEACIlelurOi,krucook,28058,Shrimp Scampi,4.999997
u_1oKVa3dm9k4sQJZuEACIlelurOi,krucook,18345,Simple Au Gratin Potatoes,4.9999957
u_1oKVa3dm9k4sQJZuEACIlelurOi,krucook,12700,Big Soft Ginger Cookies,4.9999933
u_1oKVa3dm9k4sQJZuEACIlelurOi,krucook,45495,Gluten-Free Banana Bread,4.999993
u_1oKVaSOL1PvbnFxB3chEa0aJJC3,7833louis,35766,Cheeseburger Paradise Soup,4.9999933
u_1oKVaSOL1PvbnFxB3chEa0aJJC3,7833louis,39581,Homemade Peanut Butter Cups,4.9999914
u_1oKVaSOL1PvbnFxB3chEa0aJJC3,7833louis,14299,Creamy White Chili,4.99999
u_1oKVaSOL1PvbnFxB3chEa0aJJC3,7833louis,17022,Vegetarian Linguine,4.999989
u_1oKVaSOL1PvbnFxB3chEa0aJJC3,7833louis,28058,Shrimp Scampi,4.999981
u_1oKVaDyOmY3BV0mLIx93xFCQ4pX,DebbieT,28058,Shrimp Scampi,4.9998536
u_1oKVaDyOmY3BV0mLIx93xFCQ4pX,DebbieT,45495,Gluten-Free Banana Bread,4.9997687
u_1oKVaDyOmY3BV0mLIx93xFCQ4pX,DebbieT,35766,Cheeseburger Paradise Soup,4.9997616
u_1oKVaDyOmY3BV0mLIx93xFCQ4pX,DebbieT,17022,Vegetarian Linguine,4.99975
u_1oKVaDyOmY3BV0mLIx93xFCQ4pX,DebbieT,7708,Basic Banana Muffins,4.9997077
u_1oKVZmuIOWbtN4vzlCnwvF4dsNX,bingoqueen63,12003,Traditional Lasagna,5.0
u_1oKVZmuIOWbtN4vzlCnwvF4dsNX,bingoqueen63,28058,Shrimp Scampi,4.9999866
u_1oKVZmuIOWbtN4vzlCnwvF4dsNX,bingoqueen63,18345,Simple Au Gratin Potatoes,4.9999623
u_1oKVZmuIOWbtN4vzlCnwvF4dsNX,bingoqueen63,12700,Big Soft Ginger Cookies,4.9999614
u_1oKVZmuIOWbtN4vzlCnwvF4dsNX,bingoqueen63,35766,Cheeseburger Paradise Soup,4.9999213
u_1oKVZzipo1u8lcqQzDUcw4UBn9e,2124arizona,39581,Homemade Peanut Butter Cups,5.0
u_1oKVZzipo1u8lcqQzDUcw4UBn9e,2124arizona,28058,Shrimp Scampi,5.0
u_1oKVZzipo1u8lcqQzDUcw4UBn9e,2124arizona,18345,Simple Au Gratin Potatoes,5.0
u_1oKVZzipo1u8lcqQzDUcw4UBn9e,2124arizona,12700,Big Soft Ginger Cookies,5.0
u_1oKVZzipo1u8lcqQzDUcw4UBn9e,2124arizona,957,Sandy’s Chocolate Cake,5.0
u_1oKVa5Jp2jnBvdroQIjCdFJTlja,pajamaangel,39581,Homemade Peanut Butter Cups,4.9816794
u_1oKVa5Jp2jnBvdroQIjCdFJTlja,pajamaangel,45495,Gluten-Free Banana Bread,4.978491
u_1oKVa5Jp2jnBvdroQIjCdFJTlja,pajamaangel,14299,Creamy White Chili,4.9747276
u_1oKVa5Jp2jnBvdroQIjCdFJTlja,pajamaangel,12003,Traditional Lasagna,4.9719887
u_1oKVa5Jp2jnBvdroQIjCdFJTlja,pajamaangel,35766,Cheeseburger Paradise Soup,4.954279
u_1oKVb5uSZj7PviMuKwtkrUoN1pf,KarenKeefe,12003,Traditional Lasagna,4.999192
u_1oKVb5uSZj7PviMuKwtkrUoN1pf,KarenKeefe,39581,Homemade Peanut Butter Cups,4.9956913
u_1oKVb5uSZj7PviMuKwtkrUoN1pf,KarenKeefe,35766,Cheeseburger Paradise Soup,4.9911222
u_1oKVb5uSZj7PviMuKwtkrUoN1pf,KarenKeefe,28058,Shrimp Scampi,4.9865932
u_1oKVb5uSZj7PviMuKwtkrUoN1pf,KarenKeefe,14299,Creamy White Chili,4.9832115
u_1oKVaZRjV5snsZRKtuKJMvV5rmj,jillanglemyer,12003,Traditional Lasagna,5.0
u_1oKVaZRjV5snsZRKtuKJMvV5rmj,jillanglemyer,39581,Homemade Peanut Butter Cups,4.999999
u_1oKVaZRjV5snsZRKtuKJMvV5rmj,jillanglemyer,18345,Simple Au Gratin Potatoes,4.9999943
u_1oKVaZRjV5snsZRKtuKJMvV5rmj,jillanglemyer,28058,Shrimp Scampi,4.9999933
u_1oKVaZRjV5snsZRKtuKJMvV5rmj,jillanglemyer,12700,Big Soft Ginger Cookies,4.9999814
u_1oKWBfBDTdjRiXVXeYvASif4lvC,katecrid47,26937,Pineapple Pudding Cake,4.9999995
u_1oKWBfBDTdjRiXVXeYvASif4lvC,katecrid47,17022,Vegetarian Linguine,4.9999995
u_1oKWBfBDTdjRiXVXeYvASif4lvC,katecrid47,12003,Traditional Lasagna,4.9999995
u_1oKWBfBDTdjRiXVXeYvASif4lvC,katecrid47,35766,Cheeseburger Paradise Soup,4.9999995
u_1oKWBfBDTdjRiXVXeYvASif4lvC,katecrid47,28058,Shrimp Scampi,4.9999995
u_1oKVZxAOR5BEzyF4H6ENc7jwfUW,angela32,12003,Traditional Lasagna,5.0
u_1oKVZxAOR5BEzyF4H6ENc7jwfUW,angela32,28058,Shrimp Scampi,5.0
u_1oKVZxAOR5BEzyF4H6ENc7jwfUW,angela32,39581,Homemade Peanut Butter Cups,5.0
u_1oKVZxAOR5BEzyF4H6ENc7jwfUW,angela32,45495,Gluten-Free Banana Bread,4.9999995
u_1oKVZxAOR5BEzyF4H6ENc7jwfUW,angela32,18345,Simple Au Gratin Potatoes,4.9999995
u_1oKWWvykonxY65ADfIjsEU1y3wc,lil momma jenn,12003,Traditional Lasagna,4.9993267
u_1oKWWvykonxY65ADfIjsEU1y3wc,lil momma jenn,18345,Simple Au Gratin Potatoes,4.9902716
u_1oKWWvykonxY65ADfIjsEU1y3wc,lil momma jenn,28058,Shrimp Scampi,4.9696984
u_1oKWWvykonxY65ADfIjsEU1y3wc,lil momma jenn,12700,Big Soft Ginger Cookies,4.9635286
u_1oKWWvykonxY65ADfIjsEU1y3wc,lil momma jenn,3143,Pumpkin Bars,4.957674
u_1oKVaXcpN0u6QpaTrWEsZp69OSk,annaf27,12003,Traditional Lasagna,4.9999914
u_1oKVaXcpN0u6QpaTrWEsZp69OSk,annaf27,28058,Shrimp Scampi,4.999547
u_1oKVaXcpN0u6QpaTrWEsZp69OSk,annaf27,39581,Homemade Peanut Butter Cups,4.9994493
